Fever,Cough,Fatigue,Headache,Nausea,Rash,Body_Pain,Vomiting,Diarrhea,Breathlessness,Disease,Symptoms_List
1,0,1,1,1,0,0,0,1,0,Migraine,"Fatigue, Headache, Nausea, Diarrhea"
0,1,1,0,0,1,1,0,0,0,Food Poisoning,"Cough, Fatigue, Rash, Body_Pain"
0,1,0,0,0,0,1,1,0,0,Sinusitis,"Cough, Body_Pain, Vomiting"
0,1,0,0,0,1,1,1,0,1,Sinusitis,"Cough, Rash, Body_Pain, Vomiting, Breathlessness"
0,1,0,0,1,0,0,1,1,1,COVID-19,"Cough, Nausea, Vomiting, Diarrhea, Breathlessness"
1,1,1,0,1,0,1,0,0,0,COVID-19,"Cough, Fatigue, Nausea, Body_Pain"
0,1,0,0,1,0,0,1,0,1,Common Cold,"Cough, Nausea, Vomiting, Breathlessness"
1,0,0,0,1,0,1,1,0,1,Typhoid,"Nausea, Body_Pain, Vomiting, Breathlessness"
1,0,1,0,1,1,0,1,1,1,Migraine,"Fatigue, Nausea, Rash, Vomiting, Diarrhea, Breathlessness"
0,1,0,1,0,0,1,1,1,0,Food Poisoning,"Cough, Headache, Body_Pain, Vomiting, Diarrhea"
1,0,1,0,0,0,1,1,1,0,COVID-19,"Fatigue, Body_Pain, Vomiting, Diarrhea"
0,0,1,1,1,0,0,0,0,1,Migraine,"Fatigue, Headache, Nausea, Breathlessness"
1,1,0,1,1,0,1,0,1,0,Dengue,"Cough, Headache, Nausea, Body_Pain, Diarrhea"
1,1,1,1,1,0,1,0,1,0,Common Cold,"Cough, Fatigue, Headache, Nausea, Body_Pain, Diarrhea"
0,1,0,0,1,1,1,1,1,0,Dengue,"Cough, Nausea, Rash, Body_Pain, Vomiting, Diarrhea"
1,1,0,0,0,0,1,0,0,0,Sinusitis,"Cough, Body_Pain"
1,0,0,0,0,1,0,0,1,1,Sinusitis,"Rash, Diarrhea, Breathlessness"
1,1,1,0,0,1,1,0,0,0,Sinusitis,"Cough, Fatigue, Rash, Body_Pain"
1,1,0,1,1,0,1,0,0,0,Dengue,"Cough, Headache, Nausea, Body_Pain"
1,1,0,0,0,0,1,1,1,0,Migraine,"Cough, Body_Pain, Vomiting, Diarrhea"
1,1,0,0,1,1,1,1,0,0,Typhoid,"Cough, Nausea, Rash, Body_Pain, Vomiting"
1,0,1,0,0,1,1,1,0,0,Typhoid,"Fatigue, Rash, Body_Pain, Vomiting"
0,0,1,0,1,0,1,1,0,0,COVID-19,"Fatigue, Nausea, Body_Pain, Vomiting"
1,1,0,1,0,1,0,1,1,0,Common Cold,"Cough, Headache, Rash, Vomiting, Diarrhea"
0,1,0,0,1,0,0,0,0,1,Sinusitis,"Cough, Nausea, Breathlessness"
0,1,0,0,1,1,1,1,0,0,Food Poisoning,"Cough, Nausea, Rash, Body_Pain, Vomiting"
1,0,0,1,0,0,0,1,1,1,Common Cold,"Headache, Vomiting, Diarrhea, Breathlessness"
0,1,1,0,0,0,0,1,1,1,Sinusitis,"Cough, Fatigue, Vomiting, Diarrhea, Breathlessness"
0,0,0,1,0,0,1,0,1,0,COVID-19,"Headache, Body_Pain, Diarrhea"
1,0,0,0,0,0,1,0,0,0,Typhoid,Body_Pain
0,0,1,1,1,0,0,0,0,1,Chickenpox,"Fatigue, Headache, Nausea, Breathlessness"
0,1,0,0,1,0,1,1,1,0,Common Cold,"Cough, Nausea, Body_Pain, Vomiting, Diarrhea"
1,0,1,0,1,0,1,0,1,0,Sinusitis,"Fatigue, Nausea, Body_Pain, Diarrhea"
0,0,1,1,1,0,1,0,0,0,COVID-19,"Fatigue, Headache, Nausea, Body_Pain"
1,0,0,1,1,0,1,1,0,0,Common Cold,"Headache, Nausea, Body_Pain, Vomiting"
0,1,1,0,0,0,1,0,1,0,Sinusitis,"Cough, Fatigue, Body_Pain, Diarrhea"
1,0,1,1,1,0,0,0,0,1,Migraine,"Fatigue, Headache, Nausea, Breathlessness"
1,0,0,0,0,0,1,0,0,0,Malaria,Body_Pain
0,0,0,0,1,0,0,0,1,1,Food Poisoning,"Nausea, Diarrhea, Breathlessness"
0,0,1,1,1,0,0,0,1,0,Flu,"Fatigue, Headache, Nausea, Diarrhea"
0,1,1,0,0,0,0,0,1,1,Typhoid,"Cough, Fatigue, Diarrhea, Breathlessness"
1,1,1,1,0,0,1,1,1,0,Sinusitis,"Cough, Fatigue, Headache, Body_Pain, Vomiting, Diarrhea"
1,0,0,0,0,0,0,0,1,1,Chickenpox,"Diarrhea, Breathlessness"
1,0,1,1,1,1,0,0,0,0,Chickenpox,"Fatigue, Headache, Nausea, Rash"
0,1,0,1,0,1,0,0,0,0,COVID-19,"Cough, Headache, Rash"
1,0,0,1,1,1,1,0,0,0,Migraine,"Headache, Nausea, Rash, Body_Pain"
1,0,0,0,0,1,0,1,1,1,Malaria,"Rash, Vomiting, Diarrhea, Breathlessness"
1,1,1,1,1,0,1,1,1,1,Sinusitis,"Cough, Fatigue, Headache, Nausea, Body_Pain, Vomiting, Diarrhea, Breathlessness"
1,1,1,0,0,0,1,1,1,0,Common Cold,"Cough, Fatigue, Body_Pain, Vomiting, Diarrhea"
0,0,1,0,1,0,0,0,1,1,Sinusitis,"Fatigue, Nausea, Diarrhea, Breathlessness"
1,1,1,0,1,0,0,0,0,0,Malaria,"Cough, Fatigue, Nausea"
0,1,1,0,1,1,0,1,1,0,Malaria,"Cough, Fatigue, Nausea, Rash, Vomiting, Diarrhea"
0,0,1,1,0,1,0,1,0,1,Common Cold,"Fatigue, Headache, Rash, Vomiting, Breathlessness"
1,1,0,0,1,0,1,0,0,0,Typhoid,"Cough, Nausea, Body_Pain"
1,0,1,1,0,1,1,0,0,1,Dengue,"Fatigue, Headache, Rash, Body_Pain, Breathlessness"
0,0,0,1,0,1,0,0,0,0,Dengue,"Headache, Rash"
1,1,0,0,1,0,1,0,0,0,Chickenpox,"Cough, Nausea, Body_Pain"
0,1,0,0,0,0,0,0,0,1,Food Poisoning,"Cough, Breathlessness"
0,0,1,1,0,0,0,0,1,0,Food Poisoning,"Fatigue, Headache, Diarrhea"
0,1,1,0,1,1,0,0,0,0,Common Cold,"Cough, Fatigue, Nausea, Rash"
0,1,0,0,1,1,1,1,1,0,Migraine,"Cough, Nausea, Rash, Body_Pain, Vomiting, Diarrhea"
0,1,1,1,1,0,0,1,1,0,Dengue,"Cough, Fatigue, Headache, Nausea, Vomiting, Diarrhea"
0,1,1,0,0,1,0,1,1,1,Sinusitis,"Cough, Fatigue, Rash, Vomiting, Diarrhea, Breathlessness"
1,1,0,0,1,1,1,1,1,1,Chickenpox,"Cough, Nausea, Rash, Body_Pain, Vomiting, Diarrhea, Breathlessness"
1,1,0,0,1,1,1,0,1,0,COVID-19,"Cough, Nausea, Rash, Body_Pain, Diarrhea"
1,0,1,1,0,0,0,0,1,1,Dengue,"Fatigue, Headache, Diarrhea, Breathlessness"
1,1,1,1,0,0,1,1,1,1,COVID-19,"Cough, Fatigue, Headache, Body_Pain, Vomiting, Diarrhea, Breathlessness"
1,1,0,1,1,0,0,0,0,1,Chickenpox,"Cough, Headache, Nausea, Breathlessness"
0,0,0,1,1,0,0,0,0,1,Typhoid,"Headache, Nausea, Breathlessness"
0,1,1,1,0,1,1,0,1,1,Chickenpox,"Cough, Fatigue, Headache, Rash, Body_Pain, Diarrhea, Breathlessness"
0,1,1,0,0,1,0,1,0,1,Common Cold,"Cough, Fatigue, Rash, Vomiting, Breathlessness"
0,0,1,0,1,1,1,0,0,1,Food Poisoning,"Fatigue, Nausea, Rash, Body_Pain, Breathlessness"
1,0,1,1,0,1,1,0,1,1,Migraine,"Fatigue, Headache, Rash, Body_Pain, Diarrhea, Breathlessness"
1,1,0,1,0,1,1,1,1,0,Food Poisoning,"Cough, Headache, Rash, Body_Pain, Vomiting, Diarrhea"
1,0,1,1,1,1,1,0,1,1,Dengue,"Fatigue, Headache, Nausea, Rash, Body_Pain, Diarrhea, Breathlessness"
0,1,0,1,1,1,1,1,0,0,Migraine,"Cough, Headache, Nausea, Rash, Body_Pain, Vomiting"
0,1,0,1,1,0,1,1,0,0,COVID-19,"Cough, Headache, Nausea, Body_Pain, Vomiting"
0,0,0,1,0,1,0,0,1,1,Dengue,"Headache, Rash, Diarrhea, Breathlessness"
1,0,0,1,0,0,1,0,0,0,Dengue,"Headache, Body_Pain"
0,0,1,1,0,0,0,0,0,0,Chickenpox,"Fatigue, Headache"
1,1,1,0,0,1,1,0,1,1,Migraine,"Cough, Fatigue, Rash, Body_Pain, Diarrhea, Breathlessness"
1,1,0,1,0,0,1,1,0,0,Sinusitis,"Cough, Headache, Body_Pain, Vomiting"
1,0,0,0,1,0,1,1,1,0,COVID-19,"Nausea, Body_Pain, Vomiting, Diarrhea"
0,1,0,1,1,0,0,0,0,1,Common Cold,"Cough, Headache, Nausea, Breathlessness"
1,1,0,0,0,1,0,0,1,1,Migraine,"Cough, Rash, Diarrhea, Breathlessness"
1,0,0,1,0,0,1,0,1,1,COVID-19,"Headache, Body_Pain, Diarrhea, Breathlessness"
0,1,1,0,1,1,1,1,1,1,Malaria,"Cough, Fatigue, Nausea, Rash, Body_Pain, Vomiting, Diarrhea, Breathlessness"
1,0,0,0,1,0,1,0,0,1,COVID-19,"Nausea, Body_Pain, Breathlessness"
0,1,0,1,0,1,0,0,0,0,Malaria,"Cough, Headache, Rash"
1,0,0,0,1,1,1,1,1,0,Chickenpox,"Nausea, Rash, Body_Pain, Vomiting, Diarrhea"
0,1,1,0,1,0,1,0,1,0,Sinusitis,"Cough, Fatigue, Nausea, Body_Pain, Diarrhea"
1,0,0,1,1,0,1,1,0,1,Sinusitis,"Headache, Nausea, Body_Pain, Vomiting, Breathlessness"
0,1,1,0,1,0,0,1,0,0,COVID-19,"Cough, Fatigue, Nausea, Vomiting"
0,0,0,0,0,0,0,1,0,1,Malaria,"Vomiting, Breathlessness"
1,0,1,0,1,0,0,0,1,1,Flu,"Fatigue, Nausea, Diarrhea, Breathlessness"
0,0,0,0,1,0,0,0,0,0,Dengue,Nausea
0,0,0,1,0,1,1,0,1,1,Common Cold,"Headache, Rash, Body_Pain, Diarrhea, Breathlessness"
1,0,0,1,0,0,1,1,1,1,COVID-19,"Headache, Body_Pain, Vomiting, Diarrhea, Breathlessness"
0,1,1,0,1,1,0,1,0,0,Sinusitis,"Cough, Fatigue, Nausea, Rash, Vomiting"
1,0,0,0,0,0,0,1,0,0,Flu,Vomiting
0,0,1,1,1,0,1,0,1,1,Chickenpox,"Fatigue, Headache, Nausea, Body_Pain, Diarrhea, Breathlessness"
1,0,1,0,0,1,1,0,0,1,Common Cold,"Fatigue, Rash, Body_Pain, Breathlessness"
0,0,0,1,0,0,0,0,0,0,Dengue,Headache
1,0,1,0,1,0,1,1,0,0,Migraine,"Fatigue, Nausea, Body_Pain, Vomiting"
0,0,1,1,0,1,1,1,0,1,Sinusitis,"Fatigue, Headache, Rash, Body_Pain, Vomiting, Breathlessness"
0,0,0,1,0,1,1,0,0,0,COVID-19,"Headache, Rash, Body_Pain"
0,1,1,1,1,0,1,1,0,1,Flu,"Cough, Fatigue, Headache, Nausea, Body_Pain, Vomiting, Breathlessness"
0,0,0,1,0,0,1,0,0,0,Malaria,"Headache, Body_Pain"
0,1,1,1,0,1,1,0,0,1,Chickenpox,"Cough, Fatigue, Headache, Rash, Body_Pain, Breathlessness"
1,0,0,0,0,0,1,0,1,1,COVID-19,"Body_Pain, Diarrhea, Breathlessness"
1,1,0,0,0,1,0,0,0,1,Chickenpox,"Cough, Rash, Breathlessness"
0,1,1,0,1,1,0,1,0,1,Flu,"Cough, Fatigue, Nausea, Rash, Vomiting, Breathlessness"
0,0,0,1,0,1,0,1,1,0,Malaria,"Headache, Rash, Vomiting, Diarrhea"
1,1,0,0,1,0,0,0,0,0,Food Poisoning,"Cough, Nausea"
1,1,1,0,0,1,0,0,1,1,Food Poisoning,"Cough, Fatigue, Rash, Diarrhea, Breathlessness"
0,0,0,1,0,1,1,1,1,0,COVID-19,"Headache, Rash, Body_Pain, Vomiting, Diarrhea"
1,1,0,1,0,0,0,0,1,0,Chickenpox,"Cough, Headache, Diarrhea"
1,0,0,0,1,1,0,0,0,1,Chickenpox,"Nausea, Rash, Breathlessness"
0,1,0,1,0,1,0,1,0,0,Common Cold,"Cough, Headache, Rash, Vomiting"
1,0,0,1,1,1,1,0,1,0,Food Poisoning,"Headache, Nausea, Rash, Body_Pain, Diarrhea"
0,1,1,0,0,1,0,0,1,0,Typhoid,"Cough, Fatigue, Rash, Diarrhea"
0,0,0,1,0,1,0,1,0,1,Dengue,"Headache, Rash, Vomiting, Breathlessness"
0,0,1,1,0,0,0,0,1,1,Food Poisoning,"Fatigue, Headache, Diarrhea, Breathlessness"
1,0,0,0,0,0,1,0,0,0,Typhoid,Body_Pain
0,0,1,0,0,0,0,1,1,0,Food Poisoning,"Fatigue, Vomiting, Diarrhea"
1,0,1,1,0,1,1,0,1,1,Food Poisoning,"Fatigue, Headache, Rash, Body_Pain, Diarrhea, Breathlessness"
1,1,0,0,1,0,0,1,0,0,Sinusitis,"Cough, Nausea, Vomiting"
0,0,0,0,1,1,1,1,1,0,Chickenpox,"Nausea, Rash, Body_Pain, Vomiting, Diarrhea"
1,1,1,1,0,0,1,0,0,1,Migraine,"Cough, Fatigue, Headache, Body_Pain, Breathlessness"
1,0,1,1,0,1,1,1,1,1,Sinusitis,"Fatigue, Headache, Rash, Body_Pain, Vomiting, Diarrhea, Breathlessness"
0,0,0,1,1,0,0,0,0,1,Malaria,"Headache, Nausea, Breathlessness"
1,1,1,0,0,0,1,1,0,1,Food Poisoning,"Cough, Fatigue, Body_Pain, Vomiting, Breathlessness"
0,1,0,1,0,0,0,0,0,0,Common Cold,"Cough, Headache"
1,0,1,0,1,0,1,1,0,1,Migraine,"Fatigue, Nausea, Body_Pain, Vomiting, Breathlessness"
1,1,1,0,0,0,1,0,1,0,COVID-19,"Cough, Fatigue, Body_Pain, Diarrhea"
0,0,0,1,1,0,1,0,0,0,Flu,"Headache, Nausea, Body_Pain"
1,1,0,0,0,1,0,0,0,0,Common Cold,"Cough, Rash"
1,1,1,0,1,0,1,0,1,0,Typhoid,"Cough, Fatigue, Nausea, Body_Pain, Diarrhea"
0,1,1,0,1,0,0,1,1,1,Chickenpox,"Cough, Fatigue, Nausea, Vomiting, Diarrhea, Breathlessness"
1,1,0,0,1,1,0,1,0,0,Chickenpox,"Cough, Nausea, Rash, Vomiting"
0,1,1,1,0,1,0,0,0,0,Food Poisoning,"Cough, Fatigue, Headache, Rash"
0,0,1,0,1,1,0,0,0,1,Dengue,"Fatigue, Nausea, Rash, Breathlessness"
0,1,1,1,0,0,1,1,0,0,Common Cold,"Cough, Fatigue, Headache, Body_Pain, Vomiting"
1,0,0,0,1,1,0,0,1,0,Chickenpox,"Nausea, Rash, Diarrhea"
1,0,1,1,0,0,1,1,1,1,Migraine,"Fatigue, Headache, Body_Pain, Vomiting, Diarrhea, Breathlessness"
1,0,1,1,1,0,0,0,0,1,Sinusitis,"Fatigue, Headache, Nausea, Breathlessness"
0,0,1,1,0,0,0,0,1,0,Malaria,"Fatigue, Headache, Diarrhea"
0,0,1,0,0,0,0,0,1,0,Common Cold,"Fatigue, Diarrhea"
0,1,0,0,1,1,0,1,1,1,Typhoid,"Cough, Nausea, Rash, Vomiting, Diarrhea, Breathlessness"
1,0,0,1,0,0,1,0,0,1,Food Poisoning,"Headache, Body_Pain, Breathlessness"
1,0,0,1,1,0,0,0,1,1,Malaria,"Headache, Nausea, Diarrhea, Breathlessness"
0,0,1,1,0,1,0,0,0,0,Food Poisoning,"Fatigue, Headache, Rash"
0,1,1,0,1,1,1,0,0,0,Common Cold,"Cough, Fatigue, Nausea, Rash, Body_Pain"
0,0,1,1,1,0,0,0,1,0,Food Poisoning,"Fatigue, Headache, Nausea, Diarrhea"
0,0,1,1,1,1,1,1,1,1,Food Poisoning,"Fatigue, Headache, Nausea, Rash, Body_Pain, Vomiting, Diarrhea, Breathlessness"
1,0,0,0,0,1,0,0,0,0,Flu,Rash
1,1,0,1,1,0,1,1,0,1,Malaria,"Cough, Headache, Nausea, Body_Pain, Vomiting, Breathlessness"
0,0,0,1,0,0,1,1,1,1,Dengue,"Headache, Body_Pain, Vomiting, Diarrhea, Breathlessness"
0,1,0,0,1,1,1,0,0,0,COVID-19,"Cough, Nausea, Rash, Body_Pain"
0,0,1,1,0,0,0,0,0,0,Food Poisoning,"Fatigue, Headache"
0,1,1,1,0,0,0,0,0,1,Chickenpox,"Cough, Fatigue, Headache, Breathlessness"
0,0,1,0,1,1,1,1,1,0,Flu,"Fatigue, Nausea, Rash, Body_Pain, Vomiting, Diarrhea"
1,1,1,1,1,0,0,1,1,0,Sinusitis,"Cough, Fatigue, Headache, Nausea, Vomiting, Diarrhea"
0,0,0,1,1,1,0,1,0,1,Food Poisoning,"Headache, Nausea, Rash, Vomiting, Breathlessness"
1,1,1,1,1,1,0,1,1,0,Flu,"Cough, Fatigue, Headache, Nausea, Rash, Vomiting, Diarrhea"
0,1,1,1,0,0,1,1,0,1,Malaria,"Cough, Fatigue, Headache, Body_Pain, Vomiting, Breathlessness"
0,0,1,1,0,0,0,0,1,0,Food Poisoning,"Fatigue, Headache, Diarrhea"
1,0,1,1,1,1,1,1,0,0,Dengue,"Fatigue, Headache, Nausea, Rash, Body_Pain, Vomiting"
0,1,0,0,1,1,0,0,0,0,COVID-19,"Cough, Nausea, Rash"
0,0,0,0,1,0,1,1,1,1,Common Cold,"Nausea, Body_Pain, Vomiting, Diarrhea, Breathlessness"
1,1,0,0,1,0,1,0,1,1,Sinusitis,"Cough, Nausea, Body_Pain, Diarrhea, Breathlessness"
0,0,0,1,0,1,0,0,0,1,Migraine,"Headache, Rash, Breathlessness"
0,0,1,1,1,1,0,1,1,1,Food Poisoning,"Fatigue, Headache, Nausea, Rash, Vomiting, Diarrhea, Breathlessness"
1,1,0,1,0,0,1,0,1,1,Migraine,"Cough, Headache, Body_Pain, Diarrhea, Breathlessness"
0,1,1,0,0,1,1,0,0,1,COVID-19,"Cough, Fatigue, Rash, Body_Pain, Breathlessness"
1,1,0,0,0,1,0,1,0,0,Dengue,"Cough, Rash, Vomiting"
0,0,1,0,0,1,0,0,1,0,Dengue,"Fatigue, Rash, Diarrhea"
0,0,0,0,1,0,0,1,0,0,Sinusitis,"Nausea, Vomiting"
1,0,1,0,1,0,0,1,1,1,COVID-19,"Fatigue, Nausea, Vomiting, Diarrhea, Breathlessness"
